align  排列；使排列
backend  后端
commentary  n.解说词； 评论，评注； 注释，注解；
compelling    adj.引人入胜的； 扣人心弦的； 非常强烈的； 不可抗拒的 v.强迫，使不得不( compel的现在分词)；
conduct  组织；指挥
currency  货币
diesel  柴油机
drag  拖拽
duplicate  v.复制； 复印； 重复；
exhibit  附录
fascinate  vt.使着迷； 使神魂颠倒； 蛊惑； vi.入迷；
fixed-income   固定收益
fleece  n.羊毛 vt. 诈取；剪羊毛 
fund  基金
fuzzy  模糊
gold  黄金
hypothetical  adj.假设的
innocent  adj. 无辜的，无罪的 n.无辜者
invest  投资
is composed of  由。。组成
loan  贷款；借
perspective  透镜，望远镜； 观点，看法；
recur  回想；重现
reflect  反映，考虑
replacement  n 替代，变形
truncate  vt. 缩短
